Tailwater,Headwater,Flow
1.50,2.90,320.00
1.50,3.02,340.00
1.50,3.13,360.00
1.50,3.24,380.00
1.50,3.35,400.00
1.50,3.46,420.00
1.50,3.57,440.00
1.50,3.67,460.00
1.50,3.78,480.00
1.50,3.88,500.00
1.50,3.98,520.00
1.50,4.09,540.00
1.50,4.19,560.00
1.50,4.29,580.00
1.50,4.39,600.00
1.50,4.49,620.00
1.60,1.60,0.00
1.60,1.61,20.00
1.60,1.63,40.00
1.60,1.67,60.00
1.60,1.72,80.00
1.60,1.78,100.00
1.60,1.85,120.00
1.60,1.93,140.00
1.60,2.03,160.00
1.60,2.12,180.00
1.60,2.23,200.00
1.60,2.34,220.00
1.60,2.45,240.00
1.60,2.56,260.00
1.60,2.67,280.00
1.60,2.79,300.00
1.60,2.90,320.00
1.60,3.02,340.00
1.60,3.13,360.00
1.60,3.24,380.00
1.60,3.35,400.00
1.60,3.46,420.00
1.60,3.57,440.00
1.60,3.67,460.00
1.60,3.78,480.00
1.60,3.88,500.00
1.60,3.98,520.00
1.60,4.09,540.00
1.60,4.19,560.00
1.60,4.29,580.00
1.60,4.39,600.00
1.60,4.49,620.00
1.70,1.70,0.00
1.70,1.71,20.00
1.70,1.73,40.00
1.70,1.76,60.00
1.70,1.80,80.00
1.70,1.86,100.00
1.70,1.92,120.00
1.70,2.00,140.00
1.70,2.08,160.00
1.70,2.17,180.00
1.70,2.26,200.00
1.70,2.36,220.00
1.70,2.47,240.00
1.70,2.58,260.00
1.70,2.69,280.00
1.70,2.80,300.00
1.70,2.91,320.00
1.70,3.02,340.00
1.70,3.13,360.00
1.70,3.24,380.00
1.70,3.35,400.00
1.70,3.46,420.00
1.70,3.57,440.00
1.70,3.67,460.00
1.70,3.78,480.00
1.70,3.88,500.00
1.70,3.98,520.00
1.70,4.09,540.00
1.70,4.19,560.00
1.70,4.29,580.00
1.70,4.39,600.00
1.70,4.49,620.00
1.80,1.80,0.00
1.80,1.81,20.00
1.80,1.82,40.00
1.80,1.85,60.00
1.80,1.89,80.00
1.80,1.94,100.00
1.80,1.99,120.00
1.80,2.06,140.00
1.80,2.14,160.00
1.80,2.22,180.00
1.80,2.31,200.00
1.80,2.40,220.00
1.80,2.50,240.00
1.80,2.60,260.00
1.80,2.70,280.00
1.80,2.81,300.00
1.80,2.92,320.00
1.80,3.03,340.00
1.80,3.13,360.00
1.80,3.24,380.00
1.80,3.35,400.00
1.80,3.46,420.00
1.80,3.57,440.00
1.80,3.67,460.00
1.80,3.78,480.00
1.80,3.88,500.00
1.80,3.98,520.00
1.80,4.09,540.00
1.80,4.19,560.00
1.80,4.29,580.00
1.80,4.39,600.00
1.80,4.49,620.00
1.90,1.90,0.00
1.90,1.90,20.00
1.90,1.92,40.00
1.90,1.94,60.00
1.90,1.98,80.00
1.90,2.02,100.00
1.90,2.07,120.00
1.90,2.13,140.00
1.90,2.20,160.00
1.90,2.28,180.00
1.90,2.36,200.00
1.90,2.44,220.00
1.90,2.53,240.00
1.90,2.63,260.00
1.90,2.73,280.00
1.90,2.83,300.00
1.90,2.93,320.00
1.90,3.04,340.00
1.90,3.14,360.00
1.90,3.25,380.00
1.90,3.35,400.00
1.90,3.46,420.00
1.90,3.57,440.00
1.90,3.67,460.00
1.90,3.78,480.00
1.90,3.88,500.00
1.90,3.98,520.00
1.90,4.09,540.00
1.90,4.19,560.00
1.90,4.29,580.00
1.90,4.39,600.00
1.90,4.49,620.00
2.00,2.00,0.00
2.00,2.00,20.00
2.00,2.02,40.00
2.00,2.04,60.00
2.00,2.07,80.00
2.00,2.11,100.00
2.00,2.15,120.00
2.00,2.21,140.00
2.00,2.27,160.00
2.00,2.34,180.00
2.00,2.41,200.00
2.00,2.49,220.00
2.00,2.58,240.00
2.00,2.66,260.00
2.00,2.76,280.00
2.00,2.85,300.00
2.00,2.95,320.00
2.00,3.05,340.00
2.00,3.15,360.00
2.00,3.26,380.00
2.00,3.36,400.00
2.00,3.46,420.00
2.00,3.57,440.00
2.00,3.67,460.00
2.00,3.78,480.00
2.00,3.88,500.00
2.00,3.98,520.00
2.00,4.09,540.00
2.00,4.19,560.00
2.00,4.29,580.00
2.00,4.39,600.00
2.00,4.49,620.00
2.10,2.10,0.00
2.10,2.10,20.00
2.10,2.12,40.00
2.10,2.14,60.00
2.10,2.16,80.00
2.10,2.20,100.00
2.10,2.24,120.00
2.10,2.29,140.00
2.10,2.34,160.00
2.10,2.41,180.00
2.10,2.47,200.00
2.10,2.55,220.00
2.10,2.62,240.00
2.10,2.71,260.00
2.10,2.79,280.00
2.10,2.88,300.00
2.10,2.98,320.00
2.10,3.07,340.00
2.10,3.17,360.00
2.10,3.27,380.00
2.10,3.37,400.00
2.10,3.47,420.00
2.10,3.57,440.00
2.10,3.67,460.00
2.10,3.78,480.00
2.10,3.88,500.00
2.10,3.98,520.00
2.10,4.09,540.00
2.10,4.19,560.00
2.10,4.29,580.00
2.10,4.39,600.00
2.10,4.49,620.00
2.20,2.20,0.00
2.20,2.20,20.00
2.20,2.21,40.00
2.20,2.23,60.00
2.20,2.26,80.00
2.20,2.29,100.00
2.20,2.33,120.00
2.20,2.37,140.00
2.20,2.42,160.00
2.20,2.48,180.00
2.20,2.54,200.00
2.20,2.61,220.00
2.20,2.68,240.00
2.20,2.76,260.00
2.20,2.84,280.00
2.20,2.92,300.00
2.20,3.01,320.00
2.20,3.10,340.00
2.20,3.19,360.00
2.20,3.29,380.00
2.20,3.38,400.00
2.20,3.48,420.00
2.20,3.58,440.00
2.20,3.68,460.00
2.20,3.78,480.00
2.20,3.88,500.00
2.20,3.98,520.00
2.20,4.09,540.00
2.20,4.19,560.00
2.20,4.29,580.00
2.20,4.39,600.00
2.20,4.49,620.00
2.30,2.30,0.00
2.30,2.30,20.00
2.30,2.31,40.00
2.30,2.33,60.00
2.30,2.35,80.00
2.30,2.38,100.00
2.30,2.41,120.00
2.30,2.45,140.00
2.30,2.50,160.00
2.30,2.55,180.00
2.30,2.61,200.00
2.30,2.67,220.00
2.30,2.74,240.00
2.30,2.81,260.00
2.30,2.89,280.00
2.30,2.96,300.00
2.30,3.05,320.00
2.30,3.13,340.00
2.30,3.22,360.00
2.30,3.31,380.00
2.30,3.40,400.00
2.30,3.50,420.00
2.30,3.59,440.00
2.30,3.69,460.00
2.30,3.79,480.00
2.30,3.89,500.00
2.30,3.99,520.00
2.30,4.09,540.00
2.30,4.19,560.00
2.30,4.29,580.00
2.30,4.39,600.00
2.30,4.49,620.00
2.40,2.40,0.00
2.40,2.40,20.00
2.40,2.41,40.00
2.40,2.43,60.00
2.40,2.45,80.00
2.40,2.47,100.00
2.40,2.50,120.00
2.40,2.54,140.00
2.40,2.58,160.00
2.40,2.63,180.00
2.40,2.68,200.00
2.40,2.74,220.00
2.40,2.80,240.00
2.40,2.87,260.00
2.40,2.94,280.00
2.40,3.01,300.00
2.40,3.09,320.00
2.40,3.17,340.00
2.40,3.25,360.00
2.40,3.34,380.00
2.40,3.43,400.00
2.40,3.52,420.00
2.40,3.61,440.00
2.40,3.71,460.00
2.40,3.80,480.00
2.40,3.90,500.00
2.40,3.99,520.00
2.40,4.09,540.00
2.40,4.19,560.00
2.40,4.29,580.00
2.40,4.39,600.00
2.40,4.49,620.00
2.50,2.50,0.00
2.50,2.50,20.00
